"Grade","Passage","RE","Difficulty"
">= 10 (high school)","2012-06-B.txt",57.4676623376623,"HARD"
">= 10 (high school)","2013-06-B.txt",58.8111575846834,"HARD"
">= 10 (high school)","2014-06-B.txt",53.9454425437921,"HARD"
">= 10 (high school)","2014-01-B.txt",55.6502991193441,"HARD"
">= 10 (high school)","2015-01-B.txt",53.1582242088475,"HARD"
">= 10 (high school)","2014-08-B.txt",50.410790926941,"HARD"
">= 10 (high school)","2015-08-B.txt",56.0787735849057,"HARD"
">= 13 (college)","2013-01-B.txt",49.9531742601597,"HARD"
">= 13 (college)","2013-08-B.txt",44.919276867501,"HARD"
">= 13 (college)","2011-06-B.txt",48.5495657276996,"HARD"
"5","2011-01-A.txt",92.9644611528822,"EASY"
"5","2013-08-A.txt",91.5439846964219,"EASY"
"6","2011-06-A.txt",81.2031968219328,"EASY"
"6","2012-01-A.txt",82.9777184316147,"EASY"
"6","2014-06-A.txt",87.159696969697,"EASY"
"6","2013-06-A.txt",80.4006944444445,"EASY"
"6","2015-08-A.txt",84.31339716223,"EASY"
"7","2012-08-A.txt",78.2407432432433,"EASY"
"7","2011-08-A.txt",78.9442587859425,"EASY"
"7","2014-08-A.txt",79.9628602769779,"EASY"
"7","2013-01-A.txt",74.1342389850587,"EASY"
"7","2015-06-A.txt",77.9917438016529,"EASY"
"7","2015-01-A.txt",73.427,"EASY"
"8-9","2011-01-B.txt",62.0139522130826,"MEDIUM"
"8-9","2014-01-A.txt",64.6782654373928,"MEDIUM"
"8-9","2012-01-B.txt",67.1929702356346,"MEDIUM"
"8-9","2011-08-B.txt",64.0234315104625,"MEDIUM"
"8-9","2012-08-B.txt",62.7386581581875,"MEDIUM"
"8-9","2012-06-A.txt",68.5188228665096,"MEDIUM"
"8-9","2015-06-B.txt",68.4220423728814,"MEDIUM"
